;PhyloTree.org - mtDNA tree Build 17 (18 Feb 2016);;;;;;;;;;;;;;;;;;;;;;;;;
;;L0a'b'f'g; @73  185  @195  263  2245  5603  11641  15136  15431 ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;L0a'b'g; 93  (95C)  236  8428  8566  9755  16148 ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;L0a'g; 11176  16188G ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;L0a; @146  5231  5460  14308  @16278  16320 ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0a1'4; 16168 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0a1; 5096 ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0a1a; (64)  3866 ;;;;;;;;;;;;;;;;EU092665;EU092764
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; 200 ;;;;;;;;;;;;;;;NA19311;EU092763
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L0a1a1; 2759 ;;;;;;;;;;;;;;EU092714;JQ044893
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L0a1a2; @152  2245C ;;;;;;;;;;;;;;JX303911;DQ304901
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L0a1a3; 9181 ;;;;;;;;;;;;;;JQ044943;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;; 16293 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L0a1b; 5911  14007  16278 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L0a1b1; @152  8191 ;;;;;;;;;;;;;;KJ669116;AF381988
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L0a1b1a; 12127 ;;;;;;;;;;;;;EU935434;NA19703
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;L0a1b1a1; 961 ;;;;;;;;;;;;EU092688;KC533498
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;L0a1b1a1a; 11017  15381 ;;;;;;;;;;;NA19449;KJ669120
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L0a1b2; 5563  14106  16093 ;;;;;;;;;;;;;;DQ304897;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;L0a1b2a; 15099 ;;;;;;;;;;;;;EU092746;EF657743
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L0a1c; 14569 ;;;;;;;;;;;;;;;NA19440;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L0a1c1; 8188  @16129  16287 ;;;;;;;;;;;;;;EU092945;NA19467
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L0a1d; 553  12557  @16320 ;;;;;;;;;;;;;;;EU092801;EU092809
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0a1e; @152  5147  5608  7568  @16168 ;;;;;;;;;;;;;;;;JX303766;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0a4; @152  2887  3010  5060  7830  8545  8870  11380  11809  12780  14001  14142  16192  16234  16259A  16319 ;;;;;;;;;;;;;;;;;EU092906;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0a2; 64  @185  5147  5711  6257  8281-8289d  8460  11172  @16129 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0a2a; 11143  14755 ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0a2a1; 14182 ;;;;;;;;;;;;;;;;HM771161;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L0a2a1a; 4598 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L0a2a1a1; 8264  9178 ;;;;;;;;;;;;;;DQ112686;DQ112688
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L0a2a1a2; 7424  15617 ;;;;;;;;;;;;;;EU092911;EU092868
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L0a2a1b; 3834  5558 ;;;;;;;;;;;;;;;JX303784;EU092861
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0a2a2; 204  207  9545  9554 ;;;;;;;;;;;;;;;;FJ157838;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L0a2a2a; 13116 ;;;;;;;;;;;;;;;EU092787;JX303763
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L0a2a2a1; @8701  14905 ;;;;;;;;;;;;;;JX303835;KJ669122
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L0a2a2a2; 9734T ;;;;;;;;;;;;;;JX303786;KJ669113
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0a2b; @152  @189  3372  5237  11269  12172  13281  16188  16242  16390 ;;;;;;;;;;;;;;;;;EU597537;HM771190
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0a2b1; 1598 ;;;;;;;;;;;;;;;;HM771200;HM771188
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0a2c; 194  3693  3738  4012  8389  11009  11887  13984  14560  16188  16214  16234  @16320 ;;;;;;;;;;;;;;;;;EF556174;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0a2d; 5581  15317 ;;;;;;;;;;;;;;;;;EU092913;D38112
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0a3; 14581 ;;;;;;;;;;;;;;;;;;EU092900;NA19039
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;L0g; 195  198  204  207  499  1415  4466  4814  4943  5141  @5603  5656  5782  8047  8224  10039  10427  12528  @12705  13431  13767A  14002  14110  15803  16169 ;;;;;;;;;;;;;;;;;;;KJ669112;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;L0b; 6719  15106  15622  16051  16164  @16187 ;;;;;;;;;;;;;;;;;;;;EU092936;NA19031
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;L0f; (207)  4964  7148  9581  9620  13470  14109  14620  15852  16169  16327  16368 ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;L0f1; @146  151  7364  @16187  16354 ;;;;;;;;;;;;;;;;;;;;EU092870;NA19454
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;L0f2; 4194  11287  13680  13928C ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;L0f2a; 1719  4562  10790 ;;;;;;;;;;;;;;;;;;;EU092964;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0f2a1; 143  978  2772  2789  3852  5321  10143  11299  @12720  13708  16173  16239 ;;;;;;;;;;;;;;;;;;AY963585;EU092668
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;L0f2b; @152  183  184  783  3027  3531  3592  6152  6176  7419  8020  8748  9725  11974  12855  13145  13317  14683  15884  15927  @16129  16218  16291  16354 ;;;;;;;;;;;;;;;;;;;EU092786;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;L0k; 199  850  1243  4541  4907  5811  7257  8911  8922  8994  9136  10499  10876  10920  11296  11299  11653  13590  13819  13928C  14020  14182  14371  14374  @16129  16166C  16214  16291G ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;L0k1; 2836A  6938  16209 ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;L0k1a; 198  @199  10939  12070  @12720  13020 ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;L0k1a1; 207  @8922 ;;;;;;;;;;;;;;;;;;;KC345899;EU092837
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0k1a1a; 204  8251 ;;;;;;;;;;;;;;;;;;EU092966;KJ669107
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0k1a1b; 14569 ;;;;;;;;;;;;;;;;;;KC346024;KJ669111
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0k1a1c; 2060 ;;;;;;;;;;;;;;;;;;KC346108;AF347009
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0k1a1d; 5582 ;;;;;;;;;;;;;;;;;;KC345966;KC346048
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;L0k1a2; 8222 ;;;;;;;;;;;;;;;;;;;EU092855;KC346083
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0k1a2a; 10978 ;;;;;;;;;;;;;;;;;;KC346199;KJ669103
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;L0k1a3; 16129  16242  16269  16274 ;;;;;;;;;;;;;;;;;;;KC346073;KC345982
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;L0k1b; 593  3777  10321  14364  15721  15884 ;;;;;;;;;;;;;;;;;;;;JX303865;KC346241
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;L0k2; 204  @9347  9884  15221  @16223  16291 ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;L0k2a; 4012  @9136  15299  16527 ;;;;;;;;;;;;;;;;;;;;KC346233;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;L0k2a1; 16171 ;;;;;;;;;;;;;;;;;;;KC345922;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0k2a1a; 8838  11893  16360 ;;;;;;;;;;;;;;;;;;JX303895;JX303765
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;L0k2b; 16287 ;;;;;;;;;;;;;;;;;;;;EU092792;KC346242
;;;;;;;;;;;;;;;;;;;;;;;;;;
;L0d; @1438  4232  6815  8113A  8152  8251  12121  15466  15930  15941  16243 ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;L0d1'2; 498d  3756  9755  @16278 ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;L0d1; 719  @2706  3438  6266  13759 ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;L0d1a'c'd; 16234 ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;L0d1a'd; @152  @16223 ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0d1a; 1243  9950  12142  16266G ;;;;;;;;;;;;;;;;;;KC345791;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0d1a1; 199  12798  (16266) ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0d1a1a; 7389  12696 ;;;;;;;;;;;;;;;;KJ669142;KC346226
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L0d1a1a1; @199 ;;;;;;;;;;;;;;;EU597514;KC345831
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L0d1a1a2; 318 ;;;;;;;;;;;;;;;KC346102;KJ669143
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L0d1a1a3; 14750 ;;;;;;;;;;;;;;;EU092863;KC346227
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0d1a1b; 13855  13967 ;;;;;;;;;;;;;;;;EU092833;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L0d1a1b1; 153  16209 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L0d1a1b1a; 10319 ;;;;;;;;;;;;;;KC345969;KC345775
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L0d1a1b1b; 14953 ;;;;;;;;;;;;;;KJ669141;KC533478
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0d1a1c; 152  @195  1719  7283  10237  15924 ;;;;;;;;;;;;;;;;KC346092;KC533497
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0d1a1d; 3849  8793 ;;;;;;;;;;;;;;;;KJ669138;KC533487
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0d1d; 2491.1C  4688  5104  8270  11447  11611  @13506  14560  15459  @16129  16172  @16187  16218 ;;;;;;;;;;;;;;;;;;KJ669137;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;L0d1c; 456  4197  9150  11437  12235  13129  15951  @16129 ;;;;;;;;;;;;;;;;;;;KC345764;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0d1c1; 15550  16242 ;;;;;;;;;;;;;;;;;;KC345920;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0d1c1a; 7828  9438 ;;;;;;;;;;;;;;;;;KC346144;KC533490
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0d1c1a1; 198  16167 ;;;;;;;;;;;;;;;;KC345933;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L0d1c1a1a; 3666 ;;;;;;;;;;;;;;;KC345934;EU092856
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L0d1c1a1a1; 294  5460  15731 ;;;;;;;;;;;;;;KC345835;KC345860
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;L0d1c1a1a2; 9105 ;;;;;;;;;;;;;;KC346231;KC346026
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L0d1c1a1b; 7967 ;;;;;;;;;;;;;;;EU092832;KC346101
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0d1c1a2; 114A  5460  13203 ;;;;;;;;;;;;;;;;KC345824;KC345854
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0d1c2; 16294G ;;;;;;;;;;;;;;;;;;KC346238;KC346183
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0d1c2a; 200  6929  16256  16294 ;;;;;;;;;;;;;;;;;KC345852;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0d1c2a1; 9180  12609A  15470  16274 ;;;;;;;;;;;;;;;;KC346081;KC346015
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0d1c3; 265  3591  15519  16093 ;;;;;;;;;;;;;;;;;;KC345944;EU092831
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;L0d1b; 3618 ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;L0d1b1; 188  2484.1C  4562C  @10398  16179 ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0d1b1a; 3531  8027  10707G  15217  15479 ;;;;;;;;;;;;;;;;;;KC346074;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0d1b1a1; 15314 ;;;;;;;;;;;;;;;;;KC345788;KC345918
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0d1b1b; 11341 ;;;;;;;;;;;;;;;;;;KJ669135;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0d1b1b1; 204  207  16140  16293 ;;;;;;;;;;;;;;;;;KC346235;KC345768
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;; @152 ;;;;;;;;;;;;;;;;;;KC345780;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0d1b1c; 731  2285  @2758  2882  11016  16390T ;;;;;;;;;;;;;;;;;KC346236;KC346234
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;L0d1b2; 7283  14315  14659  16294 ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0d1b2a; 6692  8790  14280  14560  15449  16153  (16474T) ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0d1b2a1; 9887 ;;;;;;;;;;;;;;;;;KC346152;KJ669149
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0d1b2a2; 2951  8388  13062 ;;;;;;;;;;;;;;;;;JX303818;KC345902
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0d1b2b; 16239 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0d1b2b1; 9111  10920 ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0d1b2b1a; 957  5460  8715  8970  11087  12303  14211  15106 ;;;;;;;;;;;;;;;;KC345900;KC345949
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0d1b2b1b; 6383  12436  15337 ;;;;;;;;;;;;;;;;KC345923;KC346138
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L0d1b2b1b1; 10084 ;;;;;;;;;;;;;;;KJ669153;KJ669150
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0d1b2b2; 573.XC  8383  15692  @16230 ;;;;;;;;;;;;;;;;;KC345781;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0d1b2b2a; 2887 ;;;;;;;;;;;;;;;;KC345809;KJ669145
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0d1b2b2b; 15697 ;;;;;;;;;;;;;;;;KC345977;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L0d1b2b2b1; 12501  16218 ;;;;;;;;;;;;;;;KC346163;EU597502
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0d1b2b2c; 5029 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L0d1b2b2c1; 8937 ;;;;;;;;;;;;;;;KC345901;KC346139
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L0d1b2b2c2; 3666  12816  16157 ;;;;;;;;;;;;;;;KC345873;KC346093
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;L0d2; 3981  4025  4044  7154  11854  15766 ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;L0d2a'b'd; 16212 ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;L0d2a; 5153  12172  14221  16390 ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0d2a1; 198  597  4225  8392  12234  12810 ;;;;;;;;;;;;;;;;;;EU092700;KC533481
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0d2a1a; 8545 ;;;;;;;;;;;;;;;;;KC346211;KC533486
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0d2a1a1; 2072 ;;;;;;;;;;;;;;;;KC346061;KC345989
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L0d2a1a1a; 16292 ;;;;;;;;;;;;;;;KC345865;KC345993
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0d2a1a2; 4896 ;;;;;;;;;;;;;;;;KJ669171;KJ669175
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0d2a1a3; 16172 ;;;;;;;;;;;;;;;;KC346221;KJ669169
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0d2a1b; 463  7861  @16187 ;;;;;;;;;;;;;;;;;KC345990;KC533477
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0d2a1c; 2609  2623  9656  11150 ;;;;;;;;;;;;;;;;;KC346197;KC346044
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0d2a2; 93  95C  3105  3290  4574  7412  16256  16289 ;;;;;;;;;;;;;;;;;;KC345910;KC346240
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;L0d2b; @152  1386  9932  10084  16069  16169 ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0d2b1; 265  @4769  5515  8865  8994  13386  14770  16126  @16187  16258C  16291 ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0d2b1a; 709  @3756 ;;;;;;;;;;;;;;;;;KC346207;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0d2b1a1; 8563  9776 ;;;;;;;;;;;;;;;;JX303903;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;L0d2b1a1a; 15596 ;;;;;;;;;;;;;;;KC345848;KC345912
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0d2b1b; 13466C  14302  14693  15944d ;;;;;;;;;;;;;;;;;KC346147;KC346167
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0d2b2; 794  5054  13768  14326 ;;;;;;;;;;;;;;;;;;EU092840;JX303788
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;L0d2d; 125  127  150  188  5147  5231  6776  8434  9254  9476  10745  14094  15884  16390T ;;;;;;;;;;;;;;;;;;;KJ669167;KC345891
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;L0d2c; 294A  4038  4204  4937  6644  8284  8420  9230  9305  11974  13827  14007  15346 ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;L0d2c1; 6249 ;;;;;;;;;;;;;;;;;;;EU092708;KC346104
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0d2c1a; 4052  4395  5899.XC ;;;;;;;;;;;;;;;;;;KC346086;KJ669159
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0d2c1a1; 930  2483  6134  9554 ;;;;;;;;;;;;;;;;;KC346206;EU092845
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0d2c1b; 12562  16482 ;;;;;;;;;;;;;;;;;;KC346131;KC345892
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;L0d2c2; 94  @152  8725  @8860  9531  10373 ;;;;;;;;;;;;;;;;;;;KC346146;KJ669161
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0d2c2a; 4646 ;;;;;;;;;;;;;;;;;;KC346217;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;L0d2c2a1; 12234 ;;;;;;;;;;;;;;;;;KJ669164;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;L0d2c2a1a; 14693  15541 ;;;;;;;;;;;;;;;;KC346053;KC346052
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L0d2c2b; 9072  9090A ;;;;;;;;;;;;;;;;;;KC346218;KJ669162
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;L0d3; 150  316  721  1243  2755  5460  5773  6377  8459  8598  9027  9488  11061  13359  15236  15312  16290  16300 ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;L0d3a; 11653  15461  15586  16399 ;;;;;;;;;;;;;;;;;;;;;EU092921;EF184587
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;L0d3b; @152  6170  7119  8290  10114  10128A  @16129  16274 ;;;;;;;;;;;;;;;;;;;;;KC533475;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;L0d3b1; 12978 ;;;;;;;;;;;;;;;;;;;;EU092842;KC346229
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;L0d3b2; 6152 ;;;;;;;;;;;;;;;;;;;;KC345931;KC346224
;;;;;;;;;;;;;;;;;;;;;;;;;;
L1'2'3'4'5'6; 146  @182  4312  10664  10915  11914  13276  16230 ;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;L1; 3666  7055  7389  13789  14178  14560 ;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;L1b; 185T  357  709  710  @1438  1738  2352  2768  3308  3693  6548  6827  6989  7867  8248  12519  14769  15115  16126  @16129  16264  16270  (16293) ;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;L1b1; 5036  5046  5655  13880A  14203 ;;;;;;;;;;;;;;;;;;;;;DQ112737;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;L1b1a; 5393 ;;;;;;;;;;;;;;;;;;;;JN214480;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;L1b1a1'4; 16114A ;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;L1b1a1; 264  3396  16215 ;;;;;;;;;;;;;;;;;;;
